5084a6f was Fabian Siatama, 5 days ago, message: archivos modificados, que perteneces al MADR con la configuracion para consultar con LDAP
ff6f985 was Fabian Siatama, 5 days ago, message: ajustes DataSync
9848e7c was Fabian Siatama, 7 days ago, message: Ajustes finales Datasync
e0f27b1 was Fabian Siatama, 7 days ago, message: avances de reportes publicos
45e7d4d was Fabian Siatama, 7 days ago, message: avances reportes publicos
2bcabd6 was Fabian Siatama, 8 days ago, message: avances reportes publicos
3919cb6 was Fabian Siatama, 8 days ago, message: avances de reportes publicos
e1ce594 was Fabian Siatama, 8 days ago, message: Avances cronograma de desgravaciones
4f6617d was Fabian Siatama, 9 days ago, message: avances cronograma de desgraviones
0649a35 was Fabian Siatama, 9 days ago, message: avances de cuadrantes
8cb3a89 was Fabian Siatama, 9 days ago, message: avances de cuadrantes
bb40f7f was Fabian Siatama, 9 days ago, message: Avnces de cuadrantes
398faef was Fabian Siatama, 12 days ago, message: avances de cuadrantes
0bdf21b was Fabian Siatama, 12 days ago, message: avances de cuadrantes
4c10031 was Fabian Siatama, 2 weeks ago, message: avances de cuadrantes
35de06a was Fabian Siatama, 2 weeks ago, message: avances desgravaciones modulo 3
f27424c was Fabian Siatama, 2 weeks ago, message: ajustes en titulos de indicadores y adicion del sector a los tres indicadores de balanza comercial
daaad00 was Fabian Siatama, 2 weeks ago, message: ajustes en titulos de indicadores y adicion del sector a los tres indicadores de balanza comercial
36d5c6a was Fabian Siatama, 2 weeks ago, message: avances cronograma de desgravaciones
e24eaf0 was Fabian Siatama, 2 weeks ago, message: cambio de titulos y ajuste en excel remplazo de array_column
3b35ab9 was Fabian Siatama, 2 weeks ago, message: cambio de titulo en los indicadores pais origen o destino por socio comercial
5f2cb1b was Fabian Siatama, 2 weeks ago, message: adicion helper para subir imagenes
7e19668 was Fabian Siatama, 2 weeks ago, message: avances sobre la herramienta para mostrar desgravaciones
325a84f was Fabian Siatama, 3 weeks ago, message: se adiciono campos de tipo de operacion en desgravaciones y contingentes detalle
77bce76 was Fabian Siatama, 3 weeks ago, message: ajustes a las consultas publicas de contingentes y desgravaciones
93d563b was Fabian Siatama, 3 weeks ago, message: ajustes a las consultas publicas de acuerdos
49ab32e was Fabian Siatama, 3 weeks ago, message: se crean vistas para los gronogramas de desgravacion
e35b555 was Fabian Siatama, 3 weeks ago, message: version final mapa de informacion general acuerdos
d1d77b7 was Fabian Siatama, 3 weeks ago, message: se adiciona la funcion arrayColumn a Helpers
711f8cf was Fabian Siatama, 3 weeks ago, message: ajustes en el mapa herramientas
6a8ce09 was Fabian Siatama, 4 weeks ago, message: se adicionan campos en mercado y acuerdo
4416121 was Fabian Siatama, 4 weeks ago, message: ajustes en el modelo entidad acuerdo
a0ec7fb was Fabian Siatama, 4 weeks ago, message: ajustes en el mapa informacion-general
